,mobile,ratings,reviews,prices
0,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"28,631 Ratings & 3,121 Reviews","₹14,999"
1,"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"28,631 Ratings & 3,121 Reviews","₹14,999"
2,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"28,631 Ratings & 3,121 Reviews","₹14,999"
3,"realme C53 (Champion Black, 128 GB)",4.4,"1,13,550 Ratings & 5,260 Reviews","₹13,999"
4,"realme C53 (Champion Gold, 128 GB)",4.4,"1,13,550 Ratings & 5,260 Reviews","₹13,999"
5,"realme C53 (Champion Black, 64 GB)",4.4,"1,13,550 Ratings & 5,260 Reviews","₹12,999"
6,"Apple iPhone 14 (Blue, 128 GB)",4.6,"2,86,207 Ratings & 11,319 Reviews","₹69,900"
7,"MOTOROLA g24 Power (Glacier Blue, 128 GB)",4.2,"2,831 Ratings & 277 Reviews","₹12,999"
8,"REDMI A2 (Classic Black, 64 GB)",4.2,"10,004 Ratings & 575 Reviews","₹9,999"
9,"realme C53 (Champion Gold, 128 GB)",4.1,"20,402 Ratings & 1,448 Reviews","₹11,999"
10,"MOTOROLA G04 (Sea Green, 64 GB)",4.2,"2,860 Ratings & 298 Reviews","₹9,999"
11,"vivo T2x 5G (Sunstone Orange, 128 GB)",4.4,"3,82,194 Ratings & 21,576 Reviews","₹18,999"
12,"vivo T2x 5G (Sunstone Orange, 128 GB)",4.4,"1,66,003 Ratings & 8,883 Reviews","₹17,999"
13,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"96,163 Ratings & 6,230 Reviews","₹1,599"
14,"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"3,026 Ratings & 330 Reviews","₹11,999"
15,"vivo T2x 5G (Black Gladiator, 128 GB)",4.4,"1,66,003 Ratings & 8,883 Reviews","₹17,999"
16,"REDMI 13C (Starshine Green, 128 GB)",4.3,"5,195 Ratings & 357 Reviews","₹11,999"
17,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"69,254 Ratings & 4,830 Reviews","₹21,999"
18,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"96,163 Ratings & 6,230 Reviews","₹1,599"
19,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"69,254 Ratings & 4,830 Reviews","₹21,999"
20,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"69,254 Ratings & 4,830 Reviews","₹19,999"
21,"POCO M6 Pro 5G (Power Black, 128 GB)",4.3,"77,273 Ratings & 5,331 Reviews","₹16,999"
22,"REDMI 13C (Stardust Black, 128 GB)",4.3,"5,195 Ratings & 357 Reviews","₹11,999"
23,"POCO M6 Pro 5G (Forest Green, 128 GB)",4.3,"77,273 Ratings & 5,331 Reviews","₹16,999"
